ID,Title,Content
50,An Elegy,"The senseless years' extinguished mirth and laughter
Oppress me like some hazy morning-after.
But sadness of days past, as alcohol -
The more it age, the stronger grip the soul.
My course is dull. The future's troubled ocean
Forebodes me toil, misfortune and commotion.

But no, my friends, I do not wish to leave;
I'd rather live, to ponder and to grieve -
And I shall have my share of delectation
Amid all care, distress and agitation:
Time and again I'll savor harmony,
Melt into tears about some fantasy,
And on my sad decline, to ease affliction,
May love yet show her smile of valediction."
51,An Invocation,"O if it's true that in the night,
When rest the living in their havens
And liquid rays of lunar light
Glide down on tombstones from the heavens,
O if it's true that still and bare
Are then the graves until aurora --
I call the shade, I wait for Laura:
To me, my friend, appear, appear!

Beloved shadow, come to me
As at our parting -- wintry, ashen
In your last minutes' agony;
Emerge in any form or fashion:
A distant star across the sphere,
A gentle sound, a puff of air or
The most appalling wraith of terror,
I care not how: appear, appear!..

I call you -- not to speak my scorn
Of people whose ill-fated malice
Has killed my friend, and not to learn
The secrets of the nether-palace,
And not because a doubt may tear
My heart at times... but as I suffer,
I want to say that still I love her,
That still I'm yours: appear, appear!"
52,Arion,"A lot of us were on the bark:
Some framed a sail for windy weather,
The others strongly and together
Moved oars. In silence sunk,
Keeping a rudder, strong and clever,
The skipper drove the heavy skiff;
And I -- with careless belief --
I sang for sailors... . But the stiff
Whirl smashed at once the waters' favor...
All dead -- the captain and his guard! --
But I, the enigmatic bard,
Was thrown to the shore alone.
I sing the former anthems, yet,
And dry my mantle, torn and wet,
In beams of sun under a stone."
53,Bound for your distant home,"Bound for your distant home
you were leaving alien lands.
In an hour as sad as I?ve known
I wept over your hands.
My hands were numb and cold,
still trying to restrain
you, whom my hurt told
never to end this pain.

But you snatched your lips away
from our bitterest kiss.
You invoked another place
than the dismal exile of this.
You said, ?When we meet again,
in the shadow of olive-trees,
we shall kiss, in a love without pain,
under cloudless infinities.?

But there, alas, where the sky
shines with blue radiance,
where olive-tree shadows lie
on the waters glittering dance,
your beauty, your suffering,
are lost in eternity.
But the sweet kiss of our meeting ...
I wait for it: you owe it me ..."
54,"Confession (to Alina Osipova, 1826)","I love you; though it makes me beat,
Though vain it seems, and melancholy -
Yet to this shameless, hapless folly
I'll be confessing at your feet.
It ill becomes me: that I'm older,
Time I should be more sensible...
And yet the frivolous disorder
Fills every jitter of my soul.
Say you'll be gone; I'm jaded, yawning;
You're back; I'm sad, I suffer through -
Yet how can I be clear, from owning,
My angel, all my care for you!
When off the stairs your weightless footfall,
Your dress's rustle, reaches me,
Your voice, as maidenly, as youthful -
I lose my senses instantly.
You smile at me; I'm glad, immensely;
Ignore me; and I'm sad, again;
Your pallid hand will recompense me
For the whole day of utter pain.
When you're embroidering, or setting
Your eye on something fair, or letting
Your hair amuse you; I'm beguiled;
In silence, reddening, all forgetting
I watch you like a spellbound child.
But then how wretched my existence,
How desolate my jealous pain,
When you set out into the distance
To wander in the cold and rain;
And then your solitary grievings,
Or, in the corner, twosome talks,
Or twosome piano in the evenings,
Or twosome trips, or twosome walks...
Alina! just a little mercy -
I dare not even mention love:
For sins I have been guilty of,
My angel, of your care unworthy...
But feign it! All can be achieved
By that absorbing gaze, believe me...
Oh, it takes little to deceive me -
I cannot wait to be deceived!"
55,Curious,"--What new? ""I tell you, nothing whatsoever.""
--Don't fool with me: you're hiding it, I know.
Oh, don't you feel ashamed? you think you're clever
To hide the news from me like from a foe?
Oh, tell me, brother, why? Inform me, I insist!
Don't be so stubborn, give me just a clue...
""Oh, let me be, the only thing I know is this -
That you're a fool, but that is nothing new."""
56,Day's Rain Is Done,"Day's rain is done. The rainy mist of night
Spreads on the sky, leaden apparel wearing,
And through the pine-trees, like a ghost appearing,
The moon comes up with hidden light.
All in my soul drags me to dark surrender.
There, far away, rises the moon in splendour.
There all the air is drunk with evening heat,
There move the waters in a sumptuous heat,
And overhead the azure skies...
It is the hour. From high hills she has gone
To sea-shores flooding in the waves' loud cries;
There, where the holy cliffs arise,
Now she sits melancholy and alone...
Alone... Before her none is weeping, fretting,
None, on his knees, is kissing her, forgetting;
Alone... To no one's lips is she betraying
Her shoulders, her wet lips, her snow-white bosom.
No one is worthy of her heavenly love.
'Tis true?... Alone... You weep... I do not move.
Yet if..."
57,Demon,"In bygone days when life's array -
The sweet song of the nightingale
And maidens' eyes, the rustling woods -
Still left a fresh impression on me,
When loftiness of feeling,
And freedom, glory, love
Artistic inspiration
So deeply stirred my blood,
My times of hope were cast in shade
And pleasure dimmed by longing,
For it was then an evil genius
Began to pay me secret visits.
Our meetings were quite dolorous:
His smile, his glance mysterious,
His venom-filled and caustic sermons
Poured frozen poison in my soul.
With endless slandering remarks
He tempted Providence;
He claimed that beauty's but a dream;
Felt scorn for inspiration;
He had no faith in love or freedom;
He looked on life with ridicule-
And in the whole of nature
He did not wish to praise a single thing."
58,Devils,"Storm-clouds hurtle, storm-clouds hover;
Flying snow is set alight
By the moon whose form they cover;
Blurred the heavens, blurred the night.
On and on our coach advances,
Little bell goes din-din-din...
Round are vast, unknown expanses;
Terror, terror is within.

-- Faster, coachman! ""Can't, sir, sorry:
Horses, sir, are nearly dead.
I am blinded, all is blurry,
All snowed up; can't see ahead.
Sir, I tell you on the level:
We have strayed, we've lost the trail.
What can WE do, when a devil
Drives us, whirls us round the vale?

""There, look, there he's playing, jolly!
Huffing, puffing in my course;
There, you see, into the gully
Pushing the hysteric horse;
Now in front of me his figure
Looms up as a queer mile-mark --
Coming closer, growing bigger,
Sparking, melting in the dark.""

Storm-clouds hurtle, storm-clouds hover;
Flying snow is set alight
By the moon whose form they cover;
Blurred the heavens, blurred the night.
We can't whirl so any longer!
Suddenly, the bell has ceased,
Horses halted... -- Hey, what's wrong there?
""Who can tell! -- a stump? a beast?..""

Blizzard's raging, blizzard's crying,
Horses panting, seized by fear;
Far away his shape is flying;
Still in haze the eyeballs glare;
Horses pull us back in motion,
Little bell goes din-din-din...
I behold a strange commotion:
Evil spirits gather in --

Sundry, ugly devils, whirling
In the moonlight's milky haze:
Swaying, flittering and swirling
Like the leaves in autumn days...
What a crowd! Where are they carried?
What's the plaintive song I hear?
Is a goblin being buried,
Or a sorceress married there?

Storm-clouds hurtle, storm-clouds hover;
Flying snow is set alight
By the moon whose form they cover;
Blurred the heavens, blurred the night.
Swarms of devils come to rally,
Hurtle in the boundless height;
Howling fills the whitening valley,
Plaintive screeching rends my heart..."
59,Don't Ask Me Why,"Don't ask me why, alone in dismal thought,
In times of mirth, I'm often filled with strife,
And why my weary stare is so distraught,
And why I don't enjoy the dream of life;
Don't ask me why my happiness has perished,
Why I don't love the love that pleased me then,
No longer can I call someone my cherished--
Who once felt love will never love again;
Who once felt bliss, no more will feel its essence,
A moment's happiness is all that we receive:
From youth, prosperity and joyful pleasantry,
All that is left is apathy and grief..."
60,Eastern Song,"I think that thou wert born for this-
To set the poet's vision burning,
To hold him in a trance of bliss,
And by sweet words to wake his yearning:
To charm him by those eyes that shine,
By that strange Eastern speech of thine,
And by thy feet-those tiny treasures!
Ah! thou wert born for languid pleasures
And glowing hours of bliss divine!"
61,Friendship,"What's friendship? The hangover's faction,
The gratis talk of outrage,
Exchange by vanity, inaction,
Or bitter shame of patronage."
62,Goblins Of The Steppes,"Stormy clouds delirious straying,
Showers of whirling snowflakes white,
And the pallid moonbeams waning--
Sad the heavens, sad the night!
Further speeds the sledge, and further,
Loud the sleighbell's melody,
Grewsome, frightful 'tis becoming,
'Mid these snow fields now to be!
Hasten! ""That is useless, Master,
Heavier for my team their load,
And my eyes with snow o'er plastered
Can no longer see the road!
Lost all trace of our direction,
Sir, what now? The goblins draw
Us already round in circles,
Pull the sledge with evil claw!
See! One hops with frantic gesture,
In my face to grin and hiss,
See! It goads the frenzied horses
Onward to the black abyss!
In the darkness, like a paling
One stands forth,--and now I see
Him like walking-fire sparkling--
Then the blackness,--woe is me!""
Stormy clouds delirious straying,
Showers of snowflakes whirling white,
And the pallid moonbeams waning--
Sad the heavens, sad the night!
Sudden halt the weary horses,
Silent too the sleighbells whirr--
Look! What crouches on the ground there?
""Wolf,--or shrub,--I know not, Sir.""
How the wind's brood rage and whimper!
Scenting, blow the triple team;
See! One hops here! Forward Driver!
How his eyes with evil gleam!
Scarce controllable the horses,
How the harness bells resound!
Look! With what a sneering grimace
Now the spirit band surround!
In an endless long procession,
Formless, countless of their kind
Circle us in flying coveys
Like the leaves in Autumn wind.
Now in ghastly silence deathly,
Now with shrilling elfin cry--
Is it some mad dance of bridal,
Or a death march passing by?
Stormy clouds delirious straying
Showers of snowflakes whirling white,
And the pallid moonbeams waning--
Sad the heavens, sad the night!
Cloudward course the evil spirits
In unceasing phantom bands,
And their moaning and bewailing
Grip my heart with icy hands!"
63,I Loved Thee,"I loved thee; and perchance until this moment
Within my breast is smouldering still the fire!
Yet I would spare thy pain the least renewal,
Nothing shall rouse again the old desire!
I loved thee with a silent desperation--
Now timid, now with jealousy brought low,
I loved devoutly,--with such deep devotion--
Ah may God grant another love thee so!
Another Translation:
I loved you once: perhaps that love has yet
To die down thoroughly within my soul;
But let it not dismay you any longer;
I have no wish to cause you any sorrow.
I loved you wordlessly, without a hope,
By shyness tortured, or by jealousy.
I loved you with such tenderness and candor
And pray God grants you to be loved that way again."
64,I've Lived To See Desire Vanish,"I've lived to see desire vanish,
With hope I've slowly come to part,
And I am left with only anguish,
The fruit of emptiness at heart.
Under the storms of merciless fate,
My worn and withered garland lies--
In sadness, lonesome, I await:
How far away is my demise?
Thus, conquered by a tardy frost,
Through gale's whistling and shimmer,
Late, on a naked limb exposed
A lonesome leaf is left to quiver!..."
65,Imitation,"I saw the Death, and she was seating
By quiet entrance at my own home,
I saw the doors were opened in my tomb,
And there, and there my hope was a-flitting
I'll die, and traces of my past
In days of future will be never sighted,
Look of my eyes will never be delighted
By dear look, in my existence last.

Farewell the somber world, where, precipice above,
My gloomy road was a-streaming,
Where life for me was never cheering,
Where I was loving, having not to love!
The dazzling heavens' azure curtain,
Beloved hills, the brook's enchanting dance,
You, mourn -- the inspiration's chance,
You, peaceful shades of wilderness, uncertain,
And all -- farewell, farewell at once."
66,Impromtu On Ogareva,"Before you, silently I sway.
I feel so anxious when you're near me,
In vain, I cast a glance your way:
I'm sure that I will never say,
What I'm imagining so freely.
"
67,Lyric written in 1830,"What means my name to you?...T'will die
As does the melancholy murmur
Of distant waves or, of a summer,
The forest's hushed nocturnal sigh.

Found on a fading album page,
Dim will it seem and enigmatic,
Like words traced on a tomb, a relic
Of some long dead and vanished age.

What's in my name?...Long since forgot,
Erased by new, tempestuous passion,
of tenderness 'twill leave you not
The lingering and sweet impression.

But in an hour of agony,
Pray, speak it, and recall my image,
And say, ""He still remembers me,
His heart alone still pays me homage."""
68,"May 26, 1828","Gift haphazard, unavailing,
Life, why were thou given me?
Why art thou to death unfailing
Sentenced by dark destiny?
Who in harsh despotic fashion
Once from Nothing called me out,
Filled my soul with burning passion
Vexed and shook my mind with doubt?
I can see no goal before me;
Empty heart and idle mind.
Life monotonously o'er me
Roars, and leaves a wound behind."
69,Morpheus,"Oh, Morpheus, give me joy till morning
For my forever painful love:
Just blow out candles' burning
And let my dreams in blessing move.
Let from my soul disappear
The separation's sharp rebuke!
And let me see that dear look,
And let me hear voice that dear.
And when will vanish dark of night
And you will free my eyes at leaving,
Oh, if my heart would have a right
To lose its love till dark of evening!"
70,Muse,"In my youth's years, she loved me, I am sure.
The flute of seven pipes she gave in my tenure
And harked to me with smile -- without speed,
Along the ringing holes of the reed,
I got to play with my non-artful fingers
The peaceful songs of Phrygian village singers,
And the important hymns, that gods to mortals bade.
>From morn till night in oaks' silent shade
I diligently harked to the mysterious virgin;
Rewarding me, by chance, for any good decision,
And taking locks aside of the enchanting face,
She sometimes took from me the flute, such commonplace.
The reed became alive in consecrated breathing
And filled the heart with holiness unceasing."
71,Night Piece,"I can't sleep, and there's no light,
Mirk all round and restless slumber,
Tickings near me without number,
Monotonous clock measuring night!
O you Fates with old wives' chatter,
Sleepy night so softly swaying,
Life with mouselike pitter-patter,
Why vex me, what are you saying?
Boring whispers what implying?
Do you murmur or complain?
Can't you tell me what you're seeking,
Calling me or Prophesying?
Oh for someone to explain
That dark language you are speaking!"
72,"O Sing, Fair Lady, When With Me","O sing, fair lady, when with me
Sad songs of Georgia no more:
They bring into my memory
Another life, a distant shore.

Your beautiful, your cruel tune
Brings to my memory, alas,
The steppe, the night; and with the moon
Lines of a far, unhappy lass.

Forgetting at the sight of you
That shadow fateful, shadow dear,
I hear you singing; and anew
I picture it before me, here.

O sing, fair lady, when with me
Sad songs of Georgia no more:
They bring into my memory
Another life, a distant shore."
73,Old Man,"I'm not that lover, filled with passion, -
That youth, who left the world amazed:
Alas, my spring and summer passed now,
And didn't leave a single trace.
Cupid, the god of youth and love and virtue!
I used to be your steadfast servant;
Oh, if I could be reborn, - I'd serve you
Even more passionate and fervent!"
74,Autumn,"What doesn't enter then my slumbering mind?
-Derzhavin

I
October has arrived - the woods have tossed
Their final leaves from naked branches;
A breath of autumn chill - the road begins to freeze,
The stream still murmurs as it passes by the mill,
The pond, however's frozen; and my neighbor hastens
to his far-flung fields with all the members of his hunt.
The winter wheat will suffer from this wild fun,
And baying hounds awake the slumbering groves.

II
This is my time: I am not fond of spring;
The tiresome thaw, the stench, the mud - spring sickens me.
The blood ferments, and yearning binds the heart and mind..
With cruel winter I am better satisfied,
I love the snows; when in the moonlight
A sleigh ride swift and carefree with a friend.
Who, warm and rosy 'neath a sable mantle,
Burns, trembles as she clasps your hand.

III
What fun it is, with feet in sharp steel shod,
To skim the mirror of the smooth and solid streams!
And how about the shining stir of winter feasts? . .
But in the end you must admit that naught but snow
For half the year will even bore a bear
Deep in his den. We cannot ride for ages,
In sleighs with youthful nymphs
Or sulk around the stove behind storm windows.

IV
O, summer fair! I would have loved you, too,
Except for heat and dust and gnats and flies.
You kill off all our mental power,
Torment us; and like fields, we suffer from the drought;
To take a drink, refresh ourselves somehow -
We think of nothing else, and long for lady Winter,
And, having bid farewell to her with pancakes and with wine,
We hold a wake to honor her with ice-cream and with ice.

V
The latter days of fall are often cursed,
But as for me, kind reader, she is precious
In all her quiet beauty, mellow glow.
Thus might a child, disfavored in its family,
Draw my regard. To tell you honestly,
Of all the times of year, I cherish her alone.
She's full of worth; and I, a humble lover,
Have found in her peculiar charms.

VI
How can this be explained? I favor her
As you might one day find yourself attracted
To a consumptive maid. Condemned to death,
The poor child languishes without complaint or anger.
A smile plays upon her withering lips;
She cannot sense as yet the gaping maw of death;
A crimson glow still flits across her face.
Today she lives, tomorrow she is gone.

VII
A melancholy time! So charming to the eye!
Your beauty in its parting pleases me -
I love the lavish withering of nature,
The gold and scarlet raiment of the woods,
The crisp wind rustling o'er their threshold,
The sky engulfed by tides of rippled gloom,
The sun's scarce rays, approaching frosts,
And gray-haired winter threatening from afar.

VIII
When autumn comes, I bloom anew;
The Russian frost does wonders for my health;
Anew I fall in love with life's routine:
Betimes I'm soothed by dreams, betimes by hunger caught;
The blood flows free and easy in my heart,
Abrim with passion; once again, I'm happy, young,
I'm full of life - such is my organism
(Excuse me for this awful prosaism)

IX
My horse is brought to me; in open field,
With flying mane, he carries fast his rider,
And with his shining hooves he hammers out a song
Upon the frozen, ringing vale, and crackling ice.
But fleeting day dies out, new fire comes alive
Inside the long-forgotten stove-- it blazes bright,
Then slowly smoulders - as I read before it,
Or nourish long and heartfelt thoughts.

X
And I forget the world - in silence sweet,
I'm sweetly lulled by my imagination,
And poetry awakens deep inside:
My heart is churned with lyric agitation,
It trembles, moans, and strives, as if in sleep,
To pour out in the end a free statement-
And here they come - a ghostly swarm of guests,
My long-lost friends, the fruits of all my dream.

XI
My mind is overcome by dashing thoughts,
And rhymes come running eagerly to meet them,
My hand demands a pen; the pen - a sheet of paper.
Another minute - and my verse will freely flow.
Thus slumbers an immobile ship caught in immobile waters,
But lo! - the sailors rush all of a sudden, crawl
Up top, then down - sails billow, filled with wind;
The massive structure moves, and cuts the waves.

XII
It sails. But whither do we sail?..."
